datum,ort,neuPositiv,inzidenz7tage
2021-05-08,Anzing,0,180.59
2021-05-09,Anzing,0,180.59
2021-05-10,Anzing,0,180.59
2021-05-11,Anzing,1,180.59
2021-05-12,Anzing,0,135.44
2021-05-13,Anzing,0,22.57
2021-05-14,Anzing,0,22.57
2021-05-15,Anzing,0,22.57
2021-05-16,Anzing,1,45.15
2021-05-17,Anzing,0,45.15
2021-05-18,Anzing,0,22.57
2021-05-19,Anzing,0,22.57
2021-05-20,Anzing,0,22.57
2021-05-21,Anzing,0,22.57
2021-05-22,Anzing,0,22.57
2021-05-23,Anzing,0,0
2021-05-24,Anzing,0,0
2021-05-25,Anzing,0,0
2021-05-26,Anzing,0,0
2021-05-27,Anzing,2,45.15
2021-05-28,Anzing,0,45.15
2021-05-29,Anzing,0,45.15
2021-05-30,Anzing,0,45.15
2021-05-31,Anzing,0,45.15
2021-06-01,Anzing,0,45.15
2021-06-02,Anzing,0,45.15
2021-06-03,Anzing,0,0
2021-06-04,Anzing,0,0
2021-06-05,Anzing,0,0
2021-06-06,Anzing,0,0
2021-06-07,Anzing,0,0
2021-06-08,Anzing,0,0
2021-06-09,Anzing,0,0
2021-06-10,Anzing,0,0
2021-06-11,Anzing,0,0
2021-06-12,Anzing,0,0
2021-06-13,Anzing,0,0
2021-06-14,Anzing,0,0
2021-06-15,Anzing,0,0
2021-06-16,Anzing,1,22.57
2021-06-17,Anzing,0,22.57
2021-06-18,Anzing,1,45.15
2021-06-19,Anzing,0,45.15
2021-06-20,Anzing,0,45.15
2021-06-21,Anzing,0,45.15
2021-06-22,Anzing,1,67.72
2021-06-23,Anzing,0,45.15
2021-06-24,Anzing,0,45.15
2021-06-25,Anzing,0,22.57
2021-06-26,Anzing,0,22.57
2021-06-27,Anzing,0,22.57
2021-06-28,Anzing,2,67.72
2021-06-29,Anzing,0,45.15
2021-06-30,Anzing,0,45.15
2021-07-01,Anzing,0,45.15
2021-07-02,Anzing,0,45.15
2021-07-03,Anzing,0,45.15
2021-07-04,Anzing,0,45.15
2021-07-05,Anzing,0,0
2021-07-06,Anzing,0,0
2021-07-07,Anzing,0,0
2021-07-08,Anzing,0,0
2021-07-09,Anzing,0,0
2021-07-10,Anzing,0,0
2021-07-11,Anzing,0,0
2021-07-12,Anzing,0,0
2021-07-13,Anzing,0,0
2021-07-14,Anzing,0,0
2021-07-15,Anzing,0,0
2021-07-16,Anzing,0,0
2021-07-17,Anzing,0,0
2021-07-18,Anzing,0,0
2021-07-19,Anzing,0,0
2021-07-20,Anzing,0,0
2021-07-21,Anzing,0,0
2021-07-22,Anzing,0,0
2021-07-23,Anzing,0,0
2021-07-24,Anzing,0,0
2021-07-25,Anzing,0,0
2021-07-26,Anzing,0,0
2021-07-27,Anzing,0,0
2021-07-28,Anzing,1,22.57
2021-07-29,Anzing,0,22.57
2021-07-30,Anzing,0,22.57
2021-07-31,Anzing,0,22.57
2021-08-01,Anzing,1,45.15
2021-08-02,Anzing,0,45.15
2021-08-03,Anzing,1,67.72
2021-08-04,Anzing,0,45.15
2021-08-05,Anzing,1,67.72
2021-08-06,Anzing,1,90.29
2021-08-07,Anzing,1,112.87
2021-08-08,Anzing,1,112.87
2021-08-09,Anzing,0,112.87
2021-08-10,Anzing,0,90.29
2021-08-11,Anzing,1,112.87
2021-08-12,Anzing,0,90.29
2021-08-13,Anzing,0,67.72
2021-08-14,Anzing,0,45.15
2021-08-15,Anzing,0,22.57
2021-08-16,Anzing,0,22.57
2021-08-17,Anzing,0,22.57
2021-08-18,Anzing,2,45.15
2021-08-19,Anzing,0,45.15
2021-08-20,Anzing,0,45.15
2021-08-21,Anzing,0,45.15
2021-08-22,Anzing,0,45.15
2021-08-23,Anzing,1,67.72
2021-08-24,Anzing,2,112.87
2021-08-25,Anzing,0,67.72
2021-08-26,Anzing,0,67.72
2021-08-27,Anzing,1,90.29
2021-08-28,Anzing,0,90.29
2021-08-29,Anzing,0,90.29
2021-08-30,Anzing,0,67.72
2021-08-31,Anzing,0,22.57
2021-09-01,Anzing,0,22.57
2021-09-02,Anzing,0,22.57
2021-09-03,Anzing,2,45.15
2021-09-04,Anzing,0,45.15
2021-09-05,Anzing,0,45.15
2021-09-06,Anzing,0,45.15
2021-09-07,Anzing,1,67.72
2021-09-08,Anzing,0,67.72
2021-09-09,Anzing,0,67.72
2021-09-10,Anzing,0,22.57
2021-09-11,Anzing,0,22.57
2021-09-12,Anzing,0,22.57
2021-09-13,Anzing,0,22.57
2021-09-14,Anzing,2,45.15
2021-09-15,Anzing,0,45.15
