datum,altersgruppe,neuPositiv,inzidenz7tage
2020-05-17,60-79,0,3.69
2020-05-17,80+,0,22.14
2020-05-18,00-04,0,0
2020-05-18,05-14,0,0
2020-05-18,15-34,0,44.54
2020-05-18,35-59,1,12.61
2020-05-18,60-79,0,3.69
2020-05-18,80+,0,22.14
2020-05-19,00-04,0,0
2020-05-19,05-14,0,0
2020-05-19,15-34,0,38.18
2020-05-19,35-59,0,7.21
2020-05-19,60-79,0,3.69
2020-05-19,80+,0,22.14
2020-05-20,00-04,0,0
2020-05-20,05-14,0,0
2020-05-20,15-34,0,3.18
2020-05-20,35-59,0,7.21
2020-05-20,60-79,0,3.69
2020-05-20,80+,0,22.14
2020-05-21,00-04,0,0
2020-05-21,05-14,0,0
2020-05-21,15-34,0,0
2020-05-21,35-59,0,3.6
2020-05-21,60-79,0,3.69
2020-05-21,80+,0,22.14
2020-05-22,00-04,0,0
2020-05-22,05-14,0,0
2020-05-22,15-34,0,0
2020-05-22,35-59,0,1.8
2020-05-22,60-79,0,0
2020-05-22,80+,0,0
2020-05-23,00-04,0,0
2020-05-23,05-14,0,0
2020-05-23,15-34,1,3.18
2020-05-23,35-59,1,3.6
2020-05-23,60-79,1,3.69
2020-05-23,80+,0,0
2020-05-24,00-04,0,0
2020-05-24,05-14,0,0
2020-05-24,15-34,0,3.18
2020-05-24,35-59,0,3.6
2020-05-24,60-79,0,3.69
2020-05-24,80+,0,0
2020-05-25,00-04,0,0
2020-05-25,05-14,0,0
2020-05-25,15-34,1,6.36
2020-05-25,35-59,0,1.8
2020-05-25,60-79,0,3.69
2020-05-25,80+,0,0
2020-05-26,00-04,0,0
2020-05-26,05-14,0,0
2020-05-26,15-34,0,6.36
2020-05-26,35-59,0,1.8
2020-05-26,60-79,0,3.69
2020-05-26,80+,0,0
2020-05-27,00-04,0,0
2020-05-27,05-14,0,0
2020-05-27,15-34,3,15.91
2020-05-27,35-59,1,3.6
2020-05-27,60-79,0,3.69
2020-05-27,80+,0,0
2020-05-28,00-04,0,0
2020-05-28,05-14,0,0
2020-05-28,15-34,0,15.91
2020-05-28,35-59,2,7.21
2020-05-28,60-79,1,7.37
2020-05-28,80+,0,0
2020-05-29,00-04,0,0
2020-05-29,05-14,0,0
2020-05-29,15-34,2,22.27
2020-05-29,35-59,0,7.21
2020-05-29,60-79,0,7.37
2020-05-29,80+,0,0
2020-05-30,00-04,0,0
2020-05-30,05-14,0,0
2020-05-30,15-34,0,19.09
2020-05-30,35-59,0,5.41
2020-05-30,60-79,0,3.69
2020-05-30,80+,0,0
2020-05-31,00-04,0,0
2020-05-31,05-14,0,0
2020-05-31,15-34,0,19.09
2020-05-31,35-59,0,5.41
2020-05-31,60-79,0,3.69
2020-05-31,80+,0,0
2020-06-01,00-04,0,0
2020-06-01,05-14,0,0
2020-06-01,15-34,0,15.91
2020-06-01,35-59,0,5.41
2020-06-01,60-79,0,3.69
2020-06-01,80+,0,0
2020-06-02,00-04,0,0
2020-06-02,05-14,0,0
2020-06-02,15-34,0,15.91
2020-06-02,35-59,0,5.41
2020-06-02,60-79,0,3.69
2020-06-02,80+,2,22.14
2020-06-03,00-04,0,0
2020-06-03,05-14,0,0
2020-06-03,15-34,0,6.36
2020-06-03,35-59,0,3.6
2020-06-03,60-79,0,3.69
2020-06-03,80+,0,22.14
2020-06-04,00-04,0,0
2020-06-04,05-14,0,0
2020-06-04,15-34,1,9.55
2020-06-04,35-59,1,1.8
2020-06-04,60-79,0,0
2020-06-04,80+,0,22.14
2020-06-05,00-04,0,0
2020-06-05,05-14,0,0
