Name,NamensherkunftWikidata,Postleitzahl,OSMWayIDs,Geometry
Biberweg,Q47542,85598,171050650,"MULTILINESTRING ((11.7954506 48.1043822, 11.7954516 48.1042899, 11.7953576 48.1040704, 11.7951836 48.10365, 11.7947905 48.103058, 11.7944867 48.1026368, 11.7939768 48.1020148, 11.793847 48.1018544, 11.79361 48.1015461, 11.7933319 48.1011842, 11.7931839 48.1009734, 11.7929008 48.1006249, 11.7928018 48.1005043, 11.7926896 48.1003198))"
Birkenweg,Q25243,85599,4047131,"MULTILINESTRING ((11.7847452 48.1425812, 11.7847257 48.1425511, 11.7847236 48.1425128, 11.7848384 48.1420371, 11.784963 48.1413083, 11.785001 48.1412014, 11.7851281 48.1409839, 11.7852914 48.1408096, 11.7854702 48.1406373, 11.7855128 48.1405962))"
Birkenweg,Q25243,85591,437995861/445139350/996089737/1143878987/1143879000,"MULTILINESTRING ((11.7680321 48.1137343, 11.7683587 48.1136745, 11.7686319 48.1136245, 11.7688115 48.1135916), (11.7688115 48.1135916, 11.7689618 48.1135641, 11.7691206 48.113535, 11.7693274 48.113494, 11.76975 48.1134101), (11.76975 48.1134101, 11.7709295 48.1131443), (11.7709295 48.1131443, 11.7713526 48.1130489, 11.7714147 48.1130045, 11.7714487 48.1129609), (11.7658121 48.1140918, 11.7670261 48.1139, 11.7680321 48.1137343))"
Birkhahnweg,Q155878,85591,25028225/25028233/975560089,"MULTILINESTRING ((11.7647133 48.1079316, 11.7649653 48.1077297, 11.7651132 48.1076534, 11.7646602 48.1074153, 11.7646314 48.1074166, 11.7645991 48.1074241, 11.7644681 48.1075358, 11.7644329 48.107546, 11.7643947 48.1075357, 11.7643719 48.1075125, 11.7643805 48.1074926, 11.7644754 48.1074183, 11.7645991 48.1074241), (11.7651132 48.1076534, 11.7656105 48.1073205), (11.7646509 48.1079872, 11.7646909 48.1079496, 11.7647133 48.1079316))"
Birnen-Anger,Q13099586,85591,656548523/656548524,"MULTILINESTRING ((11.7679966 48.1127025, 11.7678254 48.1126845, 11.7674212 48.1126171, 11.7672991 48.1126068), (11.7672991 48.1126068, 11.767164 48.1126369, 11.7669199 48.1126491, 11.7667517 48.112642, 11.7664759 48.1126053, 11.7663351 48.1125857, 11.7662887 48.112556, 11.7662596 48.1125084, 11.7662631 48.1124617, 11.7662956 48.112419, 11.7663273 48.112399, 11.7663892 48.1123801, 11.7664556 48.1123772, 11.7667833 48.1124487, 11.7671818 48.1125693, 11.7672991 48.1126068))"
Blombergstraße,Q244660,85598,4686739,"MULTILINESTRING ((11.7947091 48.09458, 11.7934718 48.0945924, 11.7922361 48.0946503))"
Blumenstraße,Q886167,85598,4642058/228275920/228444098/1193279806/1193279809,"MULTILINESTRING ((11.7842569 48.09251, 11.7844773 48.0924407, 11.7849328 48.0923087), (11.7837819 48.0926594, 11.783846 48.0926393, 11.7842569 48.09251), (11.7849328 48.0923087, 11.786089 48.0920048), (11.786089 48.0920048, 11.786327 48.0919546, 11.7864148 48.0919554), (11.7864148 48.0919554, 11.7864676 48.0919043, 11.7870573 48.0917191, 11.7874398 48.0916278, 11.7885424 48.0914204, 11.7886677 48.0913462))"
Brahmsstraße,Q7294,85591,171050651,"MULTILINESTRING ((11.7775308 48.1075872, 11.7782564 48.1071151, 11.7787607 48.1067151, 11.7791668 48.1062869))"
Brauneckstraße,Q180647,85598,4684807,"MULTILINESTRING ((11.792158 48.0918059, 11.7921516 48.091851, 11.7921695 48.0919081, 11.7921741 48.0919218, 11.7923387 48.0922005, 11.7925102 48.092475, 11.7928711 48.0926896, 11.7936194 48.0931289))"
Breitensteinstraße,,85598,4688902/1193279821,"MULTILINESTRING ((11.7893076 48.0926167, 11.7896048 48.0935354), (11.7896048 48.0935354, 11.7896703 48.0937379))"
Brombeerweg,Q19842373,85598,24964654,"MULTILINESTRING ((11.803826 48.0991074, 11.8042173 48.0990176, 11.8045915 48.099118))"
