datum,einrichtung,geschlecht,erstimpfungen,zweitimpfungen,drittimpfungen
2021-08-03,Impfzentrum,Weiblich,26046,21450,0
2021-08-03,Impfzentrum,Maennlich,22313,17407,0
2021-08-03,Impfzentrum,Divers,23,13,0
2021-08-04,Impfzentrum,Weiblich,26073,21541,0
2021-08-04,Impfzentrum,Maennlich,22339,17501,0
2021-08-04,Impfzentrum,Divers,24,14,0
2021-08-05,Impfzentrum,Weiblich,26096,21667,0
2021-08-05,Impfzentrum,Maennlich,22370,17645,0
2021-08-05,Impfzentrum,Divers,24,14,0
2021-08-06,Impfzentrum,Weiblich,26151,21961,0
2021-08-06,Impfzentrum,Maennlich,22413,17947,0
2021-08-06,Impfzentrum,Divers,24,14,0
2021-08-07,Impfzentrum,Weiblich,26194,22038,0
2021-08-07,Impfzentrum,Maennlich,22460,18066,0
2021-08-07,Impfzentrum,Divers,24,14,0
2021-08-08,Impfzentrum,Weiblich,26225,22133,0
2021-08-08,Impfzentrum,Maennlich,22492,18186,0
2021-08-08,Impfzentrum,Divers,24,14,0
2021-08-09,Impfzentrum,Weiblich,26249,22350,0
2021-08-09,Impfzentrum,Maennlich,22526,18444,0
2021-08-09,Impfzentrum,Divers,24,14,0
2021-08-10,Impfzentrum,Weiblich,26277,22467,0
2021-08-10,Impfzentrum,Maennlich,22558,18601,0
2021-08-10,Impfzentrum,Divers,24,14,0
2021-08-11,Impfzentrum,Weiblich,26305,22566,0
2021-08-11,Impfzentrum,Maennlich,22598,18697,0
2021-08-11,Impfzentrum,Divers,24,14,0
2021-08-12,Impfzentrum,Weiblich,26339,22666,0
2021-08-12,Impfzentrum,Maennlich,22636,18821,0
2021-08-12,Impfzentrum,Divers,24,14,0
2021-08-13,Impfzentrum,Weiblich,26378,22798,0
2021-08-13,Impfzentrum,Maennlich,22676,18978,0
2021-08-13,Impfzentrum,Divers,24,15,0
2021-08-14,Impfzentrum,Weiblich,26418,23027,0
2021-08-14,Impfzentrum,Maennlich,22721,19248,0
2021-08-14,Impfzentrum,Divers,24,15,0
2021-08-15,Impfzentrum,Weiblich,26454,23215,0
2021-08-15,Impfzentrum,Maennlich,22753,19476,0
2021-08-15,Impfzentrum,Divers,24,15,0
2021-08-16,Impfzentrum,Weiblich,26469,23296,0
2021-08-16,Impfzentrum,Maennlich,22772,19571,0
2021-08-16,Impfzentrum,Divers,24,15,0
2021-08-17,Impfzentrum,Weiblich,26500,23397,0
2021-08-17,Impfzentrum,Maennlich,22819,19706,0
2021-08-17,Impfzentrum,Divers,24,16,0
2021-08-18,Impfzentrum,Weiblich,26533,23476,0
2021-08-18,Impfzentrum,Maennlich,22876,19835,0
2021-08-18,Impfzentrum,Divers,24,16,0
2021-08-19,Impfzentrum,Weiblich,26563,23530,0
2021-08-19,Impfzentrum,Maennlich,22917,19907,0
2021-08-19,Impfzentrum,Divers,24,16,0
2021-08-20,Impfzentrum,Weiblich,26601,23575,0
2021-08-20,Impfzentrum,Maennlich,22957,19986,0
2021-08-20,Impfzentrum,Divers,24,16,0
2021-08-22,Impfzentrum,Weiblich,26695,23679,0
2021-08-22,Impfzentrum,Maennlich,23045,20122,0
2021-08-22,Impfzentrum,Divers,24,16,0
2021-08-24,Impfzentrum,Weiblich,26770,23835,0
2021-08-24,Impfzentrum,Maennlich,23122,20300,0
2021-08-24,Impfzentrum,Divers,24,16,0
2021-08-25,Impfzentrum,Weiblich,26828,23940,0
2021-08-25,Impfzentrum,Maennlich,23193,20426,0
2021-08-25,Impfzentrum,Divers,24,16,0
2021-08-26,Impfzentrum,Weiblich,26866,23968,0
2021-08-26,Impfzentrum,Maennlich,23225,20486,0
2021-08-26,Impfzentrum,Divers,24,16,0
2021-08-27,Impfzentrum,Weiblich,26912,24022,0
2021-08-27,Impfzentrum,Maennlich,23284,20555,0
2021-08-27,Impfzentrum,Divers,24,16,0
2021-08-28,Impfzentrum,Weiblich,26985,24132,0
2021-08-28,Impfzentrum,Maennlich,23365,20666,0
2021-08-28,Impfzentrum,Divers,24,16,0
2021-08-29,Impfzentrum,Weiblich,27010,24162,0
2021-08-29,Impfzentrum,Maennlich,23385,20704,0
2021-08-29,Impfzentrum,Divers,24,16,0
2021-08-30,Impfzentrum,Weiblich,27053,24229,0
2021-08-30,Impfzentrum,Maennlich,23457,20770,0
2021-08-30,Impfzentrum,Divers,25,16,0
2021-08-31,Impfzentrum,Weiblich,27098,24268,0
2021-08-31,Impfzentrum,Maennlich,23509,20827,0
2021-08-31,Impfzentrum,Divers,25,16,0
2021-09-01,Impfzentrum,Weiblich,27137,24317,0
2021-09-01,Impfzentrum,Maennlich,23558,20902,0
2021-09-01,Impfzentrum,Divers,25,16,0
2021-09-02,Impfzentrum,Weiblich,27162,24361,0
2021-09-02,Impfzentrum,Maennlich,23602,20965,0
2021-09-02,Impfzentrum,Divers,25,17,0
2021-09-03,Impfzentrum,Weiblich,27185,24405,0
2021-09-03,Impfzentrum,Maennlich,23626,21008,0
2021-09-03,Impfzentrum,Divers,25,17,0
2021-09-04,Impfzentrum,Weiblich,27211,24474,0
2021-09-04,Impfzentrum,Maennlich,23672,21063,0
