datum,einrichtung,altersgruppe,erstimpfungen,zweitimpfungen,drittimpfungen,viertimpfungen
2021-05-19,Impfzentrum,50-59,6610,1972,0,0
2021-05-19,Impfzentrum,60-69,4633,1152,0,0
2021-05-19,Impfzentrum,70-79,6908,1874,0,0
2021-05-19,Impfzentrum,80+,7550,6094,0,0
2021-05-20,Impfzentrum,0-19,889,206,0,0
2021-05-20,Impfzentrum,20-29,3123,777,0,0
2021-05-20,Impfzentrum,30-39,3987,1077,0,0
2021-05-20,Impfzentrum,40-49,4811,1438,0,0
2021-05-20,Impfzentrum,50-59,6709,2057,0,0
2021-05-20,Impfzentrum,60-69,4682,1181,0,0
2021-05-20,Impfzentrum,70-79,6921,1913,0,0
2021-05-20,Impfzentrum,80+,7553,6095,0,0
2021-05-21,Impfzentrum,0-19,889,206,0,0
2021-05-21,Impfzentrum,20-29,3123,777,0,0
2021-05-21,Impfzentrum,30-39,3987,1077,0,0
2021-05-21,Impfzentrum,40-49,4811,1438,0,0
2021-05-21,Impfzentrum,50-59,6709,2057,0,0
2021-05-21,Impfzentrum,60-69,4682,1181,0,0
2021-05-21,Impfzentrum,70-79,6921,1913,0,0
2021-05-21,Impfzentrum,80+,7553,6095,0,0
2021-05-22,Impfzentrum,0-19,889,206,0,0
2021-05-22,Impfzentrum,20-29,3123,777,0,0
2021-05-22,Impfzentrum,30-39,3987,1077,0,0
2021-05-22,Impfzentrum,40-49,4811,1438,0,0
2021-05-22,Impfzentrum,50-59,6709,2057,0,0
2021-05-22,Impfzentrum,60-69,4682,1181,0,0
2021-05-22,Impfzentrum,70-79,6921,1913,0,0
2021-05-22,Impfzentrum,80+,7553,6095,0,0
2021-05-23,Impfzentrum,0-19,889,206,0,0
2021-05-23,Impfzentrum,20-29,3123,777,0,0
2021-05-23,Impfzentrum,30-39,3987,1077,0,0
2021-05-23,Impfzentrum,40-49,4811,1438,0,0
2021-05-23,Impfzentrum,50-59,6709,2057,0,0
2021-05-23,Impfzentrum,60-69,4682,1181,0,0
