Gemeinde;Gemeindename;Gebietsnummer;Gebietsart;Gebietsname;Bezirksnummer;Ausgezaehlt abweichend Gebiet;Ausgezaehlt abweichend AGS;Ausbleibend;Wahlberechtigte gesamt (A);Wahlberechtigte ohne Wahlschein (A1);Wahlberechtigte mit Wahlschein (A2);Wahlberechtigte nicht im WVZ (A3);Waehler gesamt (B);Waehler ohne Wahlschein;Waehler mit Wahlschein;Urnenwaehler mit Wahlschein in Urnenwahllokal;Briefwaehler mit Wahlschein in Urnenwahllokal;Stimmen ungueltige (C);Stimmen gueltige (D);D1;D3;D4;
09175123;Hohenlinden;091751230013;BRIEFWAHLBEZIRK;Briefwahlbezirk 13;0013;;;N;0;0;0;0;195;0;195;0;0;5;190;131;18;41;
09175123;Hohenlinden;091751230014;BRIEFWAHLBEZIRK;Briefwahlbezirk 14;0014;;;N;0;0;0;0;191;0;191;0;0;9;182;119;28;35;
09175123;Hohenlinden;091751230015;BRIEFWAHLBEZIRK;Briefwahlbezirk 15;0015;;;N;0;0;0;0;190;0;190;0;0;2;188;127;38;23;
09175123;Hohenlinden;091751230016;BRIEFWAHLBEZIRK;Briefwahlbezirk 16;0016;;;N;0;0;0;0;185;0;185;0;0;1;184;137;23;24;
09175123;Hohenlinden;091751230017;BRIEFWAHLBEZIRK;Briefwahlbezirk 17;0017;;;N;0;0;0;0;166;0;166;0;0;0;166;97;32;37;
09175124;Kirchseeon;09175124;GEMEINDE;Kirchseeon;;;;N;7742;0;0;0;4506;1936;2570;0;0;65;4441;2409;600;1432;
09175124;Kirchseeon;091751240001;STIMMBEZIRK;Schule Kirchseeon 0001;0001;;;N;1009;0;0;0;247;247;0;0;0;5;242;128;50;64;
09175124;Kirchseeon;091751240002;STIMMBEZIRK;Schule Kirchseeon 0002;0002;;;N;859;0;0;0;221;221;0;0;0;2;219;119;32;68;
09175124;Kirchseeon;091751240003;STIMMBEZIRK;Schule Kirchseeon 0003;0003;;;N;1222;0;0;0;283;283;0;0;0;2;281;146;42;93;
09175124;Kirchseeon;091751240004;STIMMBEZIRK;Schule Kirchseeon 0004;0004;;;N;1107;0;0;0;314;314;0;0;0;5;309;151;55;103;
09175124;Kirchseeon;091751240005;STIMMBEZIRK;Feuerwehr Kirchseeon-Dorf 0005;0005;;;N;816;0;0;0;228;228;0;0;0;2;226;96;33;97;
09175124;Kirchseeon;091751240006;STIMMBEZIRK;Schule Eglharting 0006;0006;;;N;895;0;0;0;219;219;0;0;0;5;214;103;37;74;
09175124;Kirchseeon;091751240007;STIMMBEZIRK;Schule Eglharting 0007;0007;;;N;809;0;0;0;191;191;0;0;0;2;189;107;25;57;
09175124;Kirchseeon;091751240008;STIMMBEZIRK;Schule Eglharting 0008;0008;;;N;1025;0;0;0;233;233;0;0;0;3;230;120;49;61;
09175124;Kirchseeon;091751240011;BRIEFWAHLBEZIRK;Schule Kirchseeon 0011;0011;;;N;0;0;0;0;258;0;258;0;0;2;256;143;20;93;
09175124;Kirchseeon;091751240012;BRIEFWAHLBEZIRK;Schule Kirchseeon 0012;0012;;;N;0;0;0;0;270;0;270;0;0;5;265;146;32;87;
09175124;Kirchseeon;091751240013;BRIEFWAHLBEZIRK;Schule Kirchseeon 0013;0013;;;N;0;0;0;0;257;0;257;0;0;3;254;155;30;69;
09175124;Kirchseeon;091751240014;BRIEFWAHLBEZIRK;Schule Kirchseeon 0014;0014;;;N;0;0;0;0;260;0;260;0;0;6;254;154;32;68;
09175124;Kirchseeon;091751240015;BRIEFWAHLBEZIRK;Schule Kirchseeon 0015;0015;;;N;0;0;0;0;249;0;249;0;0;4;245;137;33;75;
09175124;Kirchseeon;091751240016;BRIEFWAHLBEZIRK;Schule Kirchseeon 0016;0016;;;N;0;0;0;0;265;0;265;0;0;6;259;137;30;92;
09175124;Kirchseeon;091751240017;BRIEFWAHLBEZIRK;Schule Kirchseeon 0017;0017;;;N;0;0;0;0;252;0;252;0;0;4;248;140;23;85;
09175124;Kirchseeon;091751240018;BRIEFWAHLBEZIRK;Schule Kirchseeon 0018;0018;;;N;0;0;0;0;255;0;255;0;0;5;250;129;27;94;
09175124;Kirchseeon;091751240019;BRIEFWAHLBEZIRK;Schule Kirchseeon 0019;0019;;;N;0;0;0;0;257;0;257;0;0;4;253;142;31;80;
09175124;Kirchseeon;091751240020;BRIEFWAHLBEZIRK;Schule Kirchseeon 0020;0020;;;N;0;0;0;0;247;0;247;0;0;0;247;156;19;72;
