Gebietsart;Gebietsnummer;Wahlberechtigte ohne Wahlschein;Wahlberechtigte mit Wahlschein;Wahlberechtigte nicht im Wählerverzeichnis;Wähler ohne Wahlschein;Wähler mit Wahlschein;Briefwähler in Urnenwahlgebiet erfasst;Gültige Stimmen;Ungültige Stimmen;Gruppenschlüssel;Stimmen;Gruppenschlüssel;Stimmen;Gruppenschlüssel;Stimmen;
BRIEFWAHLBEZIRK;091751180011;0;0;0;0;430;0;424;6;CSU;259;AfD;59;GRÜNE;106;
BRIEFWAHLBEZIRK;091751180012;0;0;0;0;429;0;421;8;CSU;280;AfD;54;GRÜNE;87;
BRIEFWAHLBEZIRK;091751180013;0;0;0;0;451;0;440;11;CSU;277;AfD;53;GRÜNE;110;
STIMMBEZIRK;091751190004;0;0;0;379;0;0;373;6;CSU;211;AfD;95;GRÜNE;67;
BRIEFWAHLBEZIRK;091751190041;0;0;0;0;255;0;243;12;CSU;163;AfD;47;GRÜNE;33;
BRIEFWAHLBEZIRK;091751190042;0;0;0;0;245;0;241;4;CSU;149;AfD;36;GRÜNE;56;
STIMMBEZIRK;091751210401;0;0;0;435;0;0;426;9;CSU;212;AfD;83;GRÜNE;131;
STIMMBEZIRK;091751210402;0;0;0;419;0;0;414;5;CSU;199;AfD;57;GRÜNE;158;
BRIEFWAHLBEZIRK;091751210411;0;0;0;0;481;0;467;14;CSU;273;AfD;61;GRÜNE;133;
BRIEFWAHLBEZIRK;091751210412;0;0;0;0;449;0;441;8;CSU;247;AfD;50;GRÜNE;144;
BRIEFWAHLBEZIRK;091751210413;0;0;0;0;417;0;409;8;CSU;251;AfD;47;GRÜNE;111;
BRIEFWAHLBEZIRK;091751210414;0;0;0;0;416;0;408;8;CSU;263;AfD;46;GRÜNE;99;
STIMMBEZIRK;091751230001;0;0;0;217;0;0;213;4;CSU;107;AfD;62;GRÜNE;44;
STIMMBEZIRK;091751230002;0;0;0;190;0;0;184;6;CSU;80;AfD;57;GRÜNE;47;
STIMMBEZIRK;091751230003;0;0;0;121;0;0;119;2;CSU;73;AfD;18;GRÜNE;28;
BRIEFWAHLBEZIRK;091751230011;0;0;0;0;198;0;192;6;CSU;144;AfD;20;GRÜNE;28;
BRIEFWAHLBEZIRK;091751230012;0;0;0;0;196;0;191;5;CSU;131;AfD;26;GRÜNE;34;
BRIEFWAHLBEZIRK;091751230013;0;0;0;0;195;0;190;5;CSU;131;AfD;18;GRÜNE;41;
BRIEFWAHLBEZIRK;091751230014;0;0;0;0;191;0;182;9;CSU;119;AfD;28;GRÜNE;35;
BRIEFWAHLBEZIRK;091751230015;0;0;0;0;190;0;188;2;CSU;127;AfD;38;GRÜNE;23;
BRIEFWAHLBEZIRK;091751230016;0;0;0;0;185;0;184;1;CSU;137;AfD;23;GRÜNE;24;
BRIEFWAHLBEZIRK;091751230017;0;0;0;0;166;0;166;0;CSU;97;AfD;32;GRÜNE;37;
STIMMBEZIRK;091751240001;0;0;0;247;0;0;242;5;CSU;128;AfD;50;GRÜNE;64;
STIMMBEZIRK;091751240002;0;0;0;221;0;0;219;2;CSU;119;AfD;32;GRÜNE;68;
STIMMBEZIRK;091751240003;0;0;0;283;0;0;281;2;CSU;146;AfD;42;GRÜNE;93;
STIMMBEZIRK;091751240004;0;0;0;314;0;0;309;5;CSU;151;AfD;55;GRÜNE;103;
STIMMBEZIRK;091751240005;0;0;0;228;0;0;226;2;CSU;96;AfD;33;GRÜNE;97;
STIMMBEZIRK;091751240006;0;0;0;219;0;0;214;5;CSU;103;AfD;37;GRÜNE;74;
STIMMBEZIRK;091751240007;0;0;0;191;0;0;189;2;CSU;107;AfD;25;GRÜNE;57;
STIMMBEZIRK;091751240008;0;0;0;233;0;0;230;3;CSU;120;AfD;49;GRÜNE;61;
BRIEFWAHLBEZIRK;091751240011;0;0;0;0;258;0;256;2;CSU;143;AfD;20;GRÜNE;93;
BRIEFWAHLBEZIRK;091751240012;0;0;0;0;270;0;265;5;CSU;146;AfD;32;GRÜNE;87;
BRIEFWAHLBEZIRK;091751240013;0;0;0;0;257;0;254;3;CSU;155;AfD;30;GRÜNE;69;
BRIEFWAHLBEZIRK;091751240014;0;0;0;0;260;0;254;6;CSU;154;AfD;32;GRÜNE;68;
BRIEFWAHLBEZIRK;091751240015;0;0;0;0;249;0;245;4;CSU;137;AfD;33;GRÜNE;75;
BRIEFWAHLBEZIRK;091751240016;0;0;0;0;265;0;259;6;CSU;137;AfD;30;GRÜNE;92;
BRIEFWAHLBEZIRK;091751240017;0;0;0;0;252;0;248;4;CSU;140;AfD;23;GRÜNE;85;
BRIEFWAHLBEZIRK;091751240018;0;0;0;0;255;0;250;5;CSU;129;AfD;27;GRÜNE;94;
BRIEFWAHLBEZIRK;091751240019;0;0;0;0;257;0;253;4;CSU;142;AfD;31;GRÜNE;80;
BRIEFWAHLBEZIRK;091751240020;0;0;0;0;247;0;247;0;CSU;156;AfD;19;GRÜNE;72;
STIMMBEZIRK;091751270001;0;0;0;196;0;0;194;2;CSU;109;AfD;42;GRÜNE;43;
STIMMBEZIRK;091751270002;0;0;0;154;0;0;152;2;CSU;68;AfD;23;GRÜNE;61;
STIMMBEZIRK;091751270003;0;0;0;231;0;0;227;4;CSU;95;AfD;50;GRÜNE;82;
STIMMBEZIRK;091751270004;0;0;0;213;0;0;209;4;CSU;93;AfD;52;GRÜNE;64;
