Gebietsart;Gebietsnummer;Wahlberechtigte ohne Wahlschein;Wahlberechtigte mit Wahlschein;Wahlberechtigte nicht im Wählerverzeichnis;Wähler ohne Wahlschein;Wähler mit Wahlschein;Briefwähler in Urnenwahlgebiet erfasst;Stimmabgabeart;Zeilenart;Gruppe-Schluessel;701 (Glaser);702 (Bockler);703 (Reindl);704 (Hartthaler);705 (Baumgartner);706 (Gräf);707 (Germeier);708 (Gell);709 (Trischler);710 (Störkle);711 (Weigl-Mühlfeld);712 (Reismann);713 (Bockler);714 (Pelz);715 (Rüggeberg);716 (Pelz);717 (Renner);718 (Baumgartner);719 (Pudelko);720 (Daschner);721 (Galleneder);722 (Reismann);723 (Englbrecht);724 (Hartthaler);725 (Salzberger);726 (Kirchlechner);727 (Gabel-Obermaier);728 (Wolf);729 (Kranner);730 (Ismair);731 (Ismair);732 (Schweisfurth)
STIMMBEZIRK;091751240001;615;394;0;246;1;0;URNE;ERFASSUNGSEINHEIT;ÖDP;14;10;7;7;7;7;7;7;7;7;7;7;7;7;7;6;6;6;6;6;6;6;6;6;6;6;3;3;3;3;3;3
STIMMBEZIRK;091751240002;519;340;0;221;0;0;URNE;ERFASSUNGSEINHEIT;ÖDP;21;18;13;13;13;10;10;10;10;10;10;10;10;10;10;10;10;13;10;10;10;10;10;10;10;10;5;5;5;5;5;5
STIMMBEZIRK;091751240003;829;393;0;283;0;0;URNE;ERFASSUNGSEINHEIT;ÖDP;14;7;9;4;4;4;4;4;4;4;9;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;2;2;2;2;2
STIMMBEZIRK;091751240004;705;402;0;314;0;0;URNE;ERFASSUNGSEINHEIT;ÖDP;7;9;6;5;7;8;2;5;3;4;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;0;0;0;0
STIMMBEZIRK;091751240005;502;314;0;228;0;0;URNE;ERFASSUNGSEINHEIT;ÖDP;25;24;17;16;16;16;16;16;16;16;16;16;17;16;16;16;16;16;16;16;17;16;16;16;16;16;9;8;8;8;8;8
STIMMBEZIRK;091751240006;566;329;0;219;0;0;URNE;ERFASSUNGSEINHEIT;ÖDP;21;18;10;12;12;10;12;12;10;11;10;10;10;11;12;10;10;13;11;10;12;10;10;13;11;10;5;5;5;5;5;5
STIMMBEZIRK;091751240007;590;219;0;189;2;0;URNE;ERFASSUNGSEINHEIT;ÖDP;18;18;12;12;12;12;12;12;12;12;12;13;12;14;12;12;13;14;12;12;12;12;12;12;13;13;6;6;6;6;6;6
STIMMBEZIRK;091751240008;669;356;0;230;3;0;URNE;ERFASSUNGSEINHEIT;ÖDP;11;10;11;8;8;8;8;8;8;8;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;2;2;2;2;2
STIMMBEZIRK;091751270001;666;282;0;196;0;0;URNE;ERFASSUNGSEINHEIT;ÖDP;6;6;7;9;4;6;6;7;5;5;5;5;5;5;5;5;5;4;6;4;4;4;6;9;4;6;2;3;2;6;2;2
STIMMBEZIRK;091751270002;683;272;0;153;1;0;URNE;ERFASSUNGSEINHEIT;ÖDP;9;9;6;7;2;4;5;2;2;2;2;2;5;2;2;2;2;2;2;2;2;2;4;2;2;2;1;1;1;1;1;1
