Gebietsart;Gebietsnummer;Wahlberechtigte ohne Wahlschein;Wahlberechtigte mit Wahlschein;Wahlberechtigte nicht im Wählerverzeichnis;Wähler ohne Wahlschein;Wähler mit Wahlschein;Briefwähler in Urnenwahlgebiet erfasst;Stimmabgabeart;Zeilenart;Gruppe-Schluessel;801 (Schmid);802 (Böning-Görlach);803 (Boegelein);804 (Koplin);805 (Lügering);806 (Heimisch);807 (Münnich);808 (Bleiel);809 (Eichmeier);810 (Bouderka);811 (Striewski);812 (Großner);813 (Lütje);814 (Munk);815 (Krieg);816 (Siegert);817 (Lindenthal);818 (Maas);819 (Pleitner);820 (Schärtl);821 (Schmidt-Behounek);822 (Haag);823 (Weyh);824 (Ottinger);825 (Huppertz)
STIMMBEZIRK;091751320013;377;340;0;208;0;0;URNE;ERFASSUNGSEINHEIT;Die Linke;40;30;27;28;27;39;28;33;30;28;30;24;24;24;27;24;24;17;10;7;7;6;6;13;6
STIMMBEZIRK;091751320014;446;359;0;228;0;0;URNE;ERFASSUNGSEINHEIT;Die Linke;33;30;33;30;30;31;30;30;30;30;27;27;27;27;27;27;24;16;11;8;11;11;8;10;7
STIMMBEZIRK;091751320015;324;302;0;183;0;0;URNE;ERFASSUNGSEINHEIT;Die Linke;15;9;9;9;9;9;12;15;9;12;13;9;9;9;9;12;9;6;2;2;2;2;1;1;1
STIMMBEZIRK;091751320016;451;252;0;148;0;0;URNE;ERFASSUNGSEINHEIT;Die Linke;18;15;15;15;15;15;15;15;15;15;15;15;15;15;15;13;13;8;4;4;4;4;4;4;4
STIMMBEZIRK;091751320017;403;405;0;165;0;0;URNE;ERFASSUNGSEINHEIT;Die Linke;36;31;34;31;30;36;27;30;27;27;30;27;24;27;24;27;27;16;8;8;8;8;9;12;9
STIMMBEZIRK;091751320018;327;321;0;189;0;0;URNE;ERFASSUNGSEINHEIT;Die Linke;18;13;13;14;10;11;10;11;10;13;10;13;10;11;10;10;9;6;3;3;3;3;3;3;3
STIMMBEZIRK;091751320019;185;0;0;185;0;0;URNE;ERFASSUNGSEINHEIT;Die Linke;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;10;5;5;5;5;4;4;3
STIMMBEZIRK;091751320020;410;361;0;239;3;0;URNE;ERFASSUNGSEINHEIT;Die Linke;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
STIMMBEZIRK;091751320021;347;321;0;171;1;0;URNE;ERFASSUNGSEINHEIT;Die Linke;9;12;9;9;6;6;6;6;6;6;9;6;6;6;6;6;6;4;2;2;2;5;2;2;2
STIMMBEZIRK;091751320022;396;310;0;153;0;0;URNE;ERFASSUNGSEINHEIT;Die Linke;12;9;18;9;9;12;9;12;9;9;12;9;9;9;9;9;12;6;3;3;3;7;3;3;3
STIMMBEZIRK;091751320023;484;284;0;222;0;0;URNE;ERFASSUNGSEINHEIT;Die Linke;24;18;19;21;18;25;18;21;20;21;20;21;18;21;18;21;18;12;7;7;6;7;7;7;7
STIMMBEZIRK;091751320024;386;337;0;194;0;0;URNE;ERFASSUNGSEINHEIT;Die Linke;15;12;12;12;14;12;12;13;12;12;12;12;14;12;12;12;12;8;6;3;6;3;3;4;3
STIMMBEZIRK;091751320025;331;334;0;176;1;0;URNE;ERFASSUNGSEINHEIT;Die Linke;30;27;24;24;25;21;24;25;25;25;22;21;21;21;21;21;20;13;7;7;7;8;7;8;8
STIMMBEZIRK;091751330001;501;460;0;246;1;0;URNE;ERFASSUNGSEINHEIT;Die Linke;22;17;16;13;12;19;12;16;12;15;20;12;12;9;9;13;11;7;4;4;3;5;4;3;4
STIMMBEZIRK;091751330002;578;405;0;343;0;0;URNE;ERFASSUNGSEINHEIT;Die Linke;33;25;25;22;21;22;21;21;21;24;25;21;21;21;21;21;21;14;7;7;7;7;7;13;7
STIMMBEZIRK;091751330003;568;422;0;296;0;0;URNE;ERFASSUNGSEINHEIT;Die Linke;31;22;16;16;19;16;16;19;16;19;18;19;16;16;16;19;16;11;9;5;6;5;6;5;5
STIMMBEZIRK;091751330004;501;359;0;284;4;0;URNE;ERFASSUNGSEINHEIT;Die Linke;4;5;5;4;4;2;2;2;2;3;2;1;1;1;1;1;1;0;0;0;0;0;0;0;0
