MaStRId,MaStRNummer,EEGAnlagenschluessel,status,registrierungMaStR,inbetriebnahme,inbetriebnahmeGeplant,stilllegung,name,betreiber,gebaeudeNutzung,plz,ort,strasse,hausnummer,lat,long,netzbetreiberPruefung,typ,module,ausrichtung,bruttoleistung_kW,nettonennleistung_kW,leistungsBegrenzung,EEGAusschreibung,einspeisung,mieterstrom
3343215,SEE910226323527,E21041011000000000000324701400001,In Betrieb,2020-08-14,2018-05-08,,,,,haushalt,85591,Vaterstetten,,,,,true,gebaeude,32,Süd-West,8.64,8.64,70%,false,Teileinspeisung (einschließlich Eigenverbrauch),false
1863687,SEE931751390068,E2104101S000000000000096233200001,In Betrieb,2019-02-19,2018-06-06,,,PV 2018,Biogas BB GbR,landwirtschaft,85591,Vaterstetten,Baldhamer Straße,101,48.112912,11.783905,true,gebaeude,1452,Süd-West,435.6,388.5,ohne,false,Volleinspeisung,false
3869193,SEE983963051831,E2104101S000000000000048641200001,In Betrieb,2020-12-13,2018-06-15,,,,,haushalt,85591,Vaterstetten,,,,,true,gebaeude,32,Süd-Ost,9.76,9.76,70%,false,Teileinspeisung (einschließlich Eigenverbrauch),false
2718311,SEE910154188571,E21041011000000000000248898700001,In Betrieb,2020-01-25,2018-07-03,,,,,haushalt,85598,Baldham,,,,,true,gebaeude,14,Süd,4.2,4.0,70%,false,Teileinspeisung (einschließlich Eigenverbrauch),false
3555165,SEE951913302753,E21041011000000000000247253600001,In Betrieb,2020-10-24,2018-07-18,,,,,landwirtschaft,85622,Weißenfeld,,,,,true,gebaeude,22,West,7.2,7.0,70%,false,Volleinspeisung,false
4430858,SEE923910832748,,In Betrieb,2021-04-11,2018-07-20,,,,,haushalt,85598,Baldham,,,,,true,gebaeude,32,Ost-West,9.92,3.0,70%,false,Teileinspeisung (einschließlich Eigenverbrauch),false
1798604,SEE905978054591,,In Betrieb,2019-01-31,2018-07-27,,,,,haushalt,85591,Vaterstetten,,,,,true,gebaeude,27,Süd,7.425,7.425,70%,false,Teileinspeisung (einschließlich Eigenverbrauch),false
4066808,SEE960545986910,E21041011000000000000259510200001,In Betrieb,2021-01-06,2018-07-27,,,,,haushalt,85599,Parsdorf,,,,,true,gebaeude,15,Süd,4.8,4.0,70%,false,Teileinspeisung (einschließlich Eigenverbrauch),false
1907914,SEE941784673557,E2104101S000000000000097924700001,In Betrieb,2019-03-05,2018-07-31,,,,,haushalt,85646,Neufarn,,,,,true,gebaeude,16,West,5.365,4.0,70%,false,Teileinspeisung (einschließlich Eigenverbrauch),false
1962257,SEE911884330292,E2104101S000000000000100172700001,In Betrieb,2019-03-28,2018-08-29,,,Dohlenweg 17,Eurytos Energie GmbH& Co. KG,haushalt,85591,Vaterstetten,,,,,true,gebaeude,40,Süd,11.0,11.0,ohne,false,Teileinspeisung (einschließlich Eigenverbrauch),false
